provinsi,jumlah
Aceh,5554.8
Sumatera Utara,15588.5
Sumatera Barat,5836.2
Riau,6728.1
Kep. Riau,3724.3
Jambi,8837.3
Sumatera Selatan,2112.2
Kep. Bangka Belitung,9419.6
Bengkulu,1531.5
Lampung,2183.3
DKI Jakarta,10684.9
Jawa Barat,50345.2
Banten,37892.3
Jawa Tengah,3759.5
DI Yogyakarta,41814.5
Jawa Timur,12431.4
Kalimantan Barat,4433.3
Kalimantan Tengah,5646
Kalimantan Selatan,5656
Kalimantan Timur,5695.5
Kalimantan Utara,2809.7
Sulawesi Utara,4273.4
Gorontalo,4045.9
Sulawesi Tengah,739.8
Sulawesi Selatan,2701.8
Sulawesi Barat,3121.8
Sulawesi Tenggara,9463.4
Bali,2793.1
Nusa Tenggara Barat,1227.8
Nusa Tenggara Timur,1503.2
Maluku,1945.6
Maluku Utara,1355.6
Papua Barat,1205.8
Papua,4542.6
